id: 015 | iou: (0.86179, 21) | ema: (0.85683, 24) | batch: 16 | lrate: 0.0002 | decay: 0.00112
id: 013 | iou: (0.85991, 24) | ema: (0.85591, 24) | batch: 16 | lrate: 0.00034 | decay: 0.00144
id: 019 | iou: (0.86454, 20) | ema: (0.85538, 24) | batch: 16 | lrate: 0.00022 | decay: 0.00837
id: 020 | iou: (0.85789, 27) | ema: (0.85433, 24) | batch: 8 | lrate: 0.00023 | decay: 0.00018
id: 016 | iou: (0.85907, 20) | ema: (0.85414, 24) | batch: 8 | lrate: 0.00032 | decay: 0.00041
id: 076 | iou: (0.87064, 22) | ema: (0.86514, 22) | batch: 16 | lrate: 0.0002 | decay: 0.00055
id: 070 | iou: (0.86908, 25) | ema: (0.8649, 28) | batch: 16 | lrate: 0.00028 | decay: 0.00021
id: 067 | iou: (0.86608, 23) | ema: (0.86264, 24) | batch: 16 | lrate: 0.00013 | decay: 0.00111
id: 072 | iou: (0.86479, 25) | ema: (0.8619, 25) | batch: 16 | lrate: 0.00014 | decay: 0.00054
id: 050 | iou: (0.87019, 17) | ema: (0.86167, 25) | batch: 16 | lrate: 0.00028 | decay: 0.00144
id: 086 | iou: (0.87542, 25) | ema: (0.87278, 33) | batch: 8 | lrate: 0.0001 | decay: 0.00124
id: 101 | iou: (0.87418, 25) | ema: (0.8704, 29) | batch: 16 | lrate: 0.00014 | decay: 0.00037
id: 090 | iou: (0.87003, 28) | ema: (0.86909, 34) | batch: 16 | lrate: 0.0001 | decay: 0.00142
id: 095 | iou: (0.87259, 24) | ema: (0.86762, 29) | batch: 8 | lrate: 7e-05 | decay: 0.00127
id: 084 | iou: (0.86885, 17) | ema: (0.86585, 25) | batch: 16 | lrate: 0.0002 | decay: 0.00786
id: 137 | iou: (0.87656, 26) | ema: (0.87331, 28) | batch: 8 | lrate: 0.00011 | decay: 0.00344
id: 153 | iou: (0.87027, 30) | ema: (0.869, 33) | batch: 16 | lrate: 0.0002 | decay: 0.00261
id: 141 | iou: (0.87033, 26) | ema: (0.86891, 32) | batch: 16 | lrate: 0.00032 | decay: 0.00011
id: 138 | iou: (0.87236, 22) | ema: (0.86705, 27) | batch: 16 | lrate: 0.00019 | decay: 0.00114
id: 126 | iou: (0.86967, 25) | ema: (0.86693, 27) | batch: 8 | lrate: 8e-05 | decay: 0.00401
